season,episode,episode_name,director,writer,imdb_rating,total_votes,air_date,n_lines,n_directions,n_words,n_speak_char,main_chars
6,3,The Promotion,Jennifer Celotta,Jennifer Celotta,8,1751,2009-10-01,304,42,3289,16,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
6,4,Niagara (Parts 1&2),Paul Feig,Greg Daniels;Mindy Kaling,9.3,3579,2009-10-08,552,83,5580,33,Andy;Angela;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
6,6,Mafia,David Rogers,Brent Forrester,7.7,1829,2009-10-15,353,41,3297,19,Andy;Creed;Dwight;Erin;Jim;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Toby
6,7,The Lover,Lee Eisenberg;Gene Stupnitsky,Lee Eisenberg;Gene Stupnitsky,8.6,1917,2009-10-22,315,84,2862,17,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
6,8,Koi Pond,Reginald Hudlin,Warren Lieberstein;Halsted Sullivan,8.2,1739,2009-10-29,319,37,3181,20,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
6,9,Double Date,Seth Gordon,Charlie Grandy,8.2,1709,2009-11-05,367,54,3293,19,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
6,10,Murder,Greg Daniels,Daniel Chun,8.6,2016,2009-11-12,247,55,3038,18,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
6,11,Shareholder Meeting,Charles McDougall,Justin Spitzer,8.2,1726,2009-11-19,267,46,3064,27,Andy;Creed;Dwight;Erin;Jim;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
6,12,Scott's Tots,B.J. Novak,Gene Stupnitsky;Lee Eisenberg,8.3,1981,2009-12-03,265,26,3038,23,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
6,13,Secret Santa,Randall Einhorn,Mindy Kaling,8.5,1844,2009-12-10,334,70,2962,24,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
6,14,The Banker,Jeffrey Blitz,Jason Kessler,6.8,2288,2010-01-21,131,25,1098,12,Andy;Angela;Dwight;Kevin;Michael;Pam;Ryan;Toby
6,15,Sabre,John Krasinski,Jennifer Celotta,7.8,1681,2010-02-04,264,43,3049,24,Andy;Angela;Creed;Dwight;Erin;Jim;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Stanley;Toby
6,16,The Manager and the Salesman,Marc Webb,Mindy Kaling,8.1,1670,2010-02-11,295,43,3183,17,Andy;Angela;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan
6,17,The Delivery (Parts 1&2),Seth Gordon;Harold Ramis,Daniel Chun;Charlie Grandy,8.4,1750,2010-03-04,625,53,5950,27,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
6,19,St. Patrick's Day,Randall Einhorn,Jonathan Huges,7.8,1642,2010-03-11,279,52,2947,25,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
6,20,New Leads,Brent Forrester,Brent Forrester,7.9,1609,2010-03-18,281,78,2846,18,Andy;Angela;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
6,21,Happy Hour,Matt Sohn,B.J. Novak,8.6,1873,2010-03-25,359,45,2766,24,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
6,22,Secretary's Day,Steve Carell,Mindy Kaling,7.9,1613,2010-04-22,267,63,2889,20,Andy;Angela;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Toby
6,23,Body Language,Mindy Kaling,Justin Spitzer,8,1633,2010-04-29,328,64,3229,19,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
6,24,The Cover,Rainn Wilson,Gene Stupnitsky;Lee Eisenberg,8.2,1627,2010-05-06,308,62,3111,19,Andy;Creed;Darryl;Dwight;Erin;Jim;Kelly;Meredith;Michael;Oscar;Pam;Ryan;Stanley
6,25,The Chump,Randall Einhorn,Aaron Shure,7.9,1571,2010-05-13,326,46,3304,21,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
6,26,Whistleblower,Paul Lieberstein,Warren Lieberstein;Halsted Sullivan,8,1625,2010-05-20,245,34,3209,23,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
7,1,Nepotism,Jeffrey Blitz,Daniel Chun,8.4,1897,2010-09-23,240,32,2860,21,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
7,2,Counseling,Jeffrey Blitz,B.J. Novak,8.3,1684,2010-09-30,268,19,2976,20,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
7,3,Andy's Play,John Scott,Charlie Grandy,8.2,1802,2010-10-07,229,33,2334,17,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Meredith;Michael;Oscar;Pam;Phyllis;Stanley
7,4,s*x Ed,Paul Lieberstein,Paul Lieberstein,7.9,1650,2010-10-14,321,62,3141,30,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
7,5,The Sting,Randall Einhorn,Mindy Kaling,7.8,1612,2010-10-21,390,47,3405,19,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
7,6,Costume Contest,Dean Holland,Justin Spitzer,8.2,1663,2010-10-28,284,47,3206,20,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
7,7,Christening,Alex Hardcastle,Peter Ocko,7.5,1668,2010-11-04,286,63,3156,34,Andy;Angela;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
7,8,Viewing Party,Ken Whittingham,Jon Vitti,7.9,1633,2010-11-11,278,81,2884,19,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
7,9,WUPHF.com,Danny Leiner,Aaron Shure,7.8,1598,2010-11-18,307,51,3162,26,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
7,10,China,Charles McDougall,Halsted Sullivan;Warren Lieberstein,8.2,1661,2010-12-02,310,30,3229,21,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
7,11,Classy Christmas (Parts 1&2),Rainn Wilson,Mindy Kaling,8.9,2138,2010-12-09,598,79,5993,26,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
7,13,Ultimatum,David Rogers,Carrie Kemper,8.3,1695,2011-01-20,319,41,2983,23,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan
7,14,The Seminar,B.J. Novak,Steve Hely,7.7,1616,2011-01-27,284,46,2833,25,Andy;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
7,15,The Search,Michael Spiller,Brent Forrester,8.5,1742,2011-02-03,310,33,2964,26,Andy;Angela;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
7,16,PDA,Greg Daniels,Robert Padnick,8.4,1736,2011-02-10,352,50,2876,20,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
7,17,Threat Level Midnight,Tucker Gates,B.J. Novak,9.3,3525,2011-02-17,194,81,2245,28,Andy;Creed;Dwight;Erin;Jim;Kelly;Kevin;Michael;Oscar;Pam;Ryan
7,18,Todd Packer,Randall Einhorn,Amelie Gillette,7.5,1581,2011-02-24,313,90,3327,19,Andy;Angela;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
7,19,Garage Sale,Steve Carell,Jon Vitti,9.2,2742,2011-03-24,290,22,2902,20,Andy;Angela;Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
7,20,Training Day,Paul Lieberstein,Daniel Chun,7.8,1655,2011-04-14,244,56,2542,21,Andy;Angela;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
7,21,Michael's Last Dundies,Mindy Kaling,Mindy Kaling,8.9,2182,2011-04-21,262,98,2882,25,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
7,22,"Goodbye, Michael",Paul Feig,Greg Daniels,9.7,5749,2011-04-28,329,135,3483,25,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
7,23,The Inner Circle,Matt Sohn,Charlie Grandy,7.7,1634,2011-05-05,265,62,2855,16,Andy;Angela;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Oscar;Pam;Phyllis;Ryan;Toby
7,24,"Dwight K. Schrute, (Acting) Manager",Troy Miller,Justin Spitzer,8.7,1840,2011-05-12,257,54,2795,21,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
7,25,Search Committee (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,8.8,2040,2011-05-19,494,166,6076,34,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
8,1,The List,B.J. Novak,B.J. Novak,8.2,1829,2011-09-22,226,31,2609,16,Andy;Angela;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
8,2,The Incentive,Charles McDougall,Paul Lieberstein,8.2,1668,2011-09-29,290,46,2815,18,Andy;Angela;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Pam;Phyllis;Ryan;Stanley
8,3,Lotto,John Krasinski,Charlie Grandy,7.3,1601,2011-10-06,288,48,3243,21,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Pam;Phyllis;Ryan;Toby
8,4,Garden Party,David Rogers,Justin Spitzer,8.1,1717,2011-10-13,241,29,2617,23,Andy;Angela;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
8,5,Spooked,Randall Einhorn,Carrie Kemper,7.6,1543,2011-10-27,264,39,2804,19,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
8,6,Doomsday,Troy Miller,Daniel Chun,7.8,1476,2011-11-03,294,54,2775,18,Andy;Angela;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
8,7,Pam's Replacement,Matt Sohn,Allison Silverman,7.7,1563,2011-11-10,321,37,2822,22,Andy;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Oscar;Pam;Phyllis;Ryan;Toby
8,8,Gettysburg,Jeffrey Blitz,Robert Padnick,7,1584,2011-11-17,238,30,3051,25,Andy;Angela;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Pam;Phyllis;Ryan;Stanley
8,9,Mrs. California,Charlie Grandy,Dan Greaney,7.7,1553,2011-12-01,278,49,2979,16,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Oscar;Phyllis;Ryan;Toby
8,10,Christmas Wishes,Ed Helms,Mindy Kaling,8,1547,2011-12-08,310,49,2885,19,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Phyllis;Ryan;Stanley;Toby
8,11,Trivia,B.J. Novak,Steve Hely,7.9,1488,2012-01-12,237,44,2628,23,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Phyllis;Ryan;Stanley
8,12,Pool Party,Charles McDougall,Owen Ellickson,8,1612,2012-01-19,273,62,2552,20,Andy;Angela;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Phyllis;Ryan;Stanley;Toby
8,13,Jury Duty,Eric Appel,Aaron Shure,7.5,1478,2012-02-02,329,44,3177,23,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
8,14,Special Project,David Rogers,Amelie Gillette,7.8,1432,2012-02-09,290,36,3205,21,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
8,15,Tallahassee,Matt Sohn,Daniel Chun,7.9,1522,2012-02-16,245,52,2991,21,Andy;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Pam;Ryan;Stanley
8,16,After Hours,Brian Baumgartner,Halsted Sullivan;Warren Lieberstein,8.1,1567,2012-02-23,339,52,3011,20,Andy;Angela;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Oscar;Pam;Phyllis;Ryan;Stanley
8,17,Test The Store,Brent Forrester,Mindy Kaling,7.8,1478,2012-03-01,259,32,3164,29,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
8,18,Last Day In Florida,Matt Sohn,Robert Padnick,7.8,1429,2012-03-08,264,106,2957,23,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
8,19,Get The Girl,Rainn Wilson,Charlie Grandy,6.7,1642,2012-03-15,261,32,2811,21,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
8,20,Welcome Party,Ed Helms,Steve Hely,7.2,1489,2012-04-12,307,60,3087,26,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Ryan;Stanley
8,21,Angry Andy,Claire Scanlon,Justin Spitzer,7.1,1585,2012-04-19,292,37,3141,22,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
8,22,Fundraiser,David Rogers,Owen Ellickson,7.1,1453,2012-04-26,239,31,2859,21,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Ryan;Stanley
8,23,Turf War,Daniel Chun,Warren Lieberstein;Halsted Sullivan,7.7,1393,2012-05-03,288,38,2865,20,Andy;Angela;Creed;Dwight;Erin;Jim;Kevin;Oscar;Pam;Phyllis;Stanley;Toby
8,24,Free Family Portrait Studio,B.J. Novak,B.J. Novak,7.8,1464,2012-05-10,295,35,2667,30,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Pam;Phyllis;Stanley;Toby
9,1,The New Guys,Greg Daniels,Greg Daniels,7.7,1577,2012-09-20,225,24,2638,23,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
9,2,Roy's Wedding,Matt Sohn,Allison Silverman,7.2,1477,2012-09-27,296,95,2908,20,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Stanley;Toby
9,3,Andy's Ancestry,David Rogers,Jonathan Green;Gabe Miller,7.5,1461,2012-10-04,243,48,2707,17,Andy;Angela;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Stanley
9,4,Work Bus,Bryan Cranston,Brent Forrester,7.9,1551,2012-10-18,320,75,2818,19,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Stanley;Toby
9,5,Here Comes Treble,Claire Scanlong,Owen Ellickson,7.1,1515,2012-10-25,292,45,2878,25,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Stanley;Toby
9,6,The Boat,John Krasinski,Dan Sterling,7.8,1455,2012-11-08,283,67,3074,19,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Toby
9,7,The Whale,Rodman Flender,Carrie Kemper,7.7,1406,2012-11-15,294,56,3042,24,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Toby
9,8,The Target,Brent Forrester,Graham Wagner,7.8,1438,2012-11-29,322,42,2890,19,Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Stanley;Toby
9,9,Dwight Christmas,Charles McDougall,Robert Padnick,8.4,1634,2012-12-06,287,66,2780,15,Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Stanley;Toby
9,10,Lice,Rodman Flender,Nicki Schwartz-Wright,7.7,1470,2013-01-10,253,52,2925,21,Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Stanley
9,11,Suit Warehouse,Matt Sohn,Dan Greaney,7.9,1441,2013-01-17,268,65,3090,24,Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Stanley
9,12,Customer Loyalty,Kelly Cantley-Kashima,Jonathan Green;Gabe Miller,8,1508,2013-01-24,283,39,2999,33,Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Stanley;Toby
9,13,Junior Salesman,David Rogers,Carrie Kemper,7.7,1394,2013-01-31,279,30,3145,25,Angela;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Stanley
9,14,Vandalism,Lee Kirk,Owen Ellickson,7.6,1402,2013-01-31,260,63,3047,25,Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Toby
9,15,Couples Discount,Troy Miller,Allison Silverman,7.4,1407,2013-02-07,260,70,3076,21,Andy;Angela;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Stanley
9,16,Moving On,Jon Favreau,Graham Wagner,8.2,1572,2013-02-14,501,62,5240,27,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Stanley;Toby
9,17,The Farm,Paul Lieberstein,Paul Lieberstein,7.5,1656,2013-03-14,218,61,2451,25,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Stanley
9,18,Promos,Jennifer Celotta,Tim McAuliffe,8,1445,2013-04-04,318,55,2707,28,Andy;Angela;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Stanley;Toby
9,19,Stairmageddon,Matt Sohn,Dan Sterling,8,1484,2013-04-11,273,59,2965,24,Andy;Angela;Creed;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Stanley;Toby
9,20,Paper Airplane,Jesse Peretz,Halsted Sullivan;Warren Lieberstein,8,1482,2013-04-25,234,48,2564,27,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Oscar;Pam;Stanley;Toby
9,21,Livin' the Dream,Jeffrey Blitz,Nicki Schwartz-Wright,8.9,2041,2013-05-02,382,33,4333,20,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Stanley;Toby
9,22,A.A.R.M,David Rogers,Brent Forrester,9.3,2860,2013-05-09,501,54,4965,30,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kevin;Meredith;Oscar;Pam;Phyllis;Stanley
9,24,Finale,Ken Kwapis,Greg Daniels,9.7,7934,2013-05-16,522,107,5960,54,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
